scenario,seed,method,invariant,passed,critical,observed,expected,trace_ref
temporary_fatigue,0,critiquescope,follow_outperforms_over_apply,False,True,"{""follow_utility"": 8.06, ""over_apply_utility"": 8.06}","{""relationship"": ""follow > over_apply""}",temporary_fatigue:critiquescope:0:follow_outperforms_over_apply
temporary_fatigue,0,critiquescope,suppression_expires_after_horizon,False,True,"{""suppressed_turn"": 3, ""recovered_turn"": 7, ""suppressed_contains_target_top2"": false, ""recovered_contains_target_top2"": false}","{""suppressed_top2"": false, ""post_expiry_eligible"": true}",temporary_fatigue:critiquescope:0:suppression_expires_after_horizon
temporary_fatigue,0,flat,flat_retains_longer_suppression_than_critiquescope,False,True,"{""critiquescope_post_expiry_contains_target_top2"": false, ""flat_post_expiry_contains_target"": false}","{""critiquescope_recovers"": true, ""flat_post_expiry_suppresses"": true}",temporary_fatigue:flat:0:flat_retains_longer_suppression_than_critiquescope
temporary_fatigue,0,critiquescope,post_expiry_target_eligible_again,False,True,"{""turn"": 7, ""contains_target_top2"": false}","{""contains_target"": true}",temporary_fatigue:critiquescope:0:post_expiry_target_eligible_again
temporary_fatigue,1,critiquescope,follow_outperforms_over_apply,False,True,"{""follow_utility"": 8.06, ""over_apply_utility"": 8.06}","{""relationship"": ""follow > over_apply""}",temporary_fatigue:critiquescope:1:follow_outperforms_over_apply
temporary_fatigue,1,critiquescope,suppression_expires_after_horizon,False,True,"{""suppressed_turn"": 3, ""recovered_turn"": 7, ""suppressed_contains_target_top2"": false, ""recovered_contains_target_top2"": false}","{""suppressed_top2"": false, ""post_expiry_eligible"": true}",temporary_fatigue:critiquescope:1:suppression_expires_after_horizon
temporary_fatigue,1,flat,flat_retains_longer_suppression_than_critiquescope,False,True,"{""critiquescope_post_expiry_contains_target_top2"": false, ""flat_post_expiry_contains_target"": false}","{""critiquescope_recovers"": true, ""flat_post_expiry_suppresses"": true}",temporary_fatigue:flat:1:flat_retains_longer_suppression_than_critiquescope
temporary_fatigue,1,critiquescope,post_expiry_target_eligible_again,False,True,"{""turn"": 7, ""contains_target_top2"": false}","{""contains_target"": true}",temporary_fatigue:critiquescope:1:post_expiry_target_eligible_again
temporary_fatigue,2,critiquescope,follow_outperforms_over_apply,False,True,"{""follow_utility"": 8.06, ""over_apply_utility"": 8.06}","{""relationship"": ""follow > over_apply""}",temporary_fatigue:critiquescope:2:follow_outperforms_over_apply
temporary_fatigue,2,critiquescope,suppression_expires_after_horizon,False,True,"{""suppressed_turn"": 3, ""recovered_turn"": 7, ""suppressed_contains_target_top2"": false, ""recovered_contains_target_top2"": false}","{""suppressed_top2"": false, ""post_expiry_eligible"": true}",temporary_fatigue:critiquescope:2:suppression_expires_after_horizon
